feature,importance
BABIP,0.20851107244697356
GAP,0.203430088745231
POW,0.15850016404143943
CON,0.15689320497909567
IF_RNG,0.1014587763676241
SPE,0.043295540369453885
OF_RNG,0.04102536213181933
EYE,0.036234180192505516
C_ABI,0.024871905613826295
IF_ARM,0.023632048072815704
OF_ARM,0.0021476570392155734
